Quarter,Community Drinking Water Systems,Atrazine-System Means (mcg/L),Population Served
2018 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2018 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2018 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2018 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2019 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2019 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2019 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2019 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2020 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2020 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2020 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2020 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"35,629"
2021 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2021 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2021 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2021 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2022 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2022 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2022 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
2022 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"36,828"
